Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Country Code
Marshall Islands,Debt Service as a Percentage of Exports of Goods and Services, … ,,2020,%,17.4.1,RMI
"Micronesia, Federated States of",Debt Service as a Percentage of Exports of Goods and Services, … ,,2020,%,17.4.1,FSM
Mongolia,Debt Service as a Percentage of Exports of Goods and Services,9.6,,2020,%,17.4.1,MON
Myanmar,Debt Service as a Percentage of Exports of Goods and Services,3.4,,2019,%,17.4.1,MYA
Nauru,Debt Service as a Percentage of Exports of Goods and Services, … ,,2020,%,17.4.1,NAU
Nepal,Debt Service as a Percentage of Exports of Goods and Services,11.6,,2020,%,17.4.1,NEP
Niue,Debt Service as a Percentage of Exports of Goods and Services, … ,,2020,%,17.4.1,NIU
Pakistan,Debt Service as a Percentage of Exports of Goods and Services,26.6,,2020,%,17.4.1,PAK
Palau,Debt Service as a Percentage of Exports of Goods and Services, … ,,2020,%,17.4.1,PAL
Papua New Guinea,Debt Service as a Percentage of Exports of Goods and Services,10.8,,2020,%,17.4.1,PNG
Philippines,Debt Service as a Percentage of Exports of Goods and Services,6.1,,2020,%,17.4.1,PHI
Samoa,Debt Service as a Percentage of Exports of Goods and Services,18.7,,2020,%,17.4.1,SAM
Singapore,Debt Service as a Percentage of Exports of Goods and Services, … ,,2020,%,17.4.1,SIN
Solomon Islands,Debt Service as a Percentage of Exports of Goods and Services,1.4,,2020,%,17.4.1,SOL
Sri Lanka,Debt Service as a Percentage of Exports of Goods and Services,33,,2020,%,17.4.1,SRI
"Taipei,China",Debt Service as a Percentage of Exports of Goods and Services, … ,,2020,%,17.4.1,TAP
Tajikistan,Debt Service as a Percentage of Exports of Goods and Services,6.4,,2020,%,17.4.1,TAJ
Thailand,Debt Service as a Percentage of Exports of Goods and Services,0.5,,2020,%,17.4.1,THA
Timor-Leste,Debt Service as a Percentage of Exports of Goods and Services,1.1,,2020,%,17.4.1,TIM
Tonga,Debt Service as a Percentage of Exports of Goods and Services,3.9,,2020,%,17.4.1,TON
Turkmenistan,Debt Service as a Percentage of Exports of Goods and Services, … ,,2020,%,17.4.1,TKM
Tuvalu,Debt Service as a Percentage of Exports of Goods and Services, … ,,2020,%,17.4.1,TUV
Uzbekistan,Debt Service as a Percentage of Exports of Goods and Services,5.6,,2020,%,17.4.1,UZB
Vanuatu,Debt Service as a Percentage of Exports of Goods and Services,7.1,,2020,%,17.4.1,VAN
Viet Nam,Debt Service as a Percentage of Exports of Goods and Services,1.6,,2020,%,17.4.1,VIE
Afghanistan,"Domestic Material Consumption









",44.6,,2019,Million Metric Tons,12.2.2,AFG
Afghanistan,"Domestic Material Consumption









",1.2,,2019,Per Capita,12.2.2,AFG
Armenia,"Domestic Material Consumption









",46.9,,2019,Million Metric Tons,12.2.2,ARM
Armenia,"Domestic Material Consumption









",15.9,,2019,Per Capita,12.2.2,ARM
Azerbaijan,"Domestic Material Consumption









",82.7,,2019,Million Metric Tons,12.2.2,AZE
Azerbaijan,"Domestic Material Consumption









",8.2,,2019,Per Capita,12.2.2,AZE
Bangladesh,"Domestic Material Consumption









",387.3,,2019,Million Metric Tons,12.2.2,BAN
Bangladesh,"Domestic Material Consumption









",2.4,,2019,Per Capita,12.2.2,BAN
Bhutan,"Domestic Material Consumption









",20,,2019,Million Metric Tons,12.2.2,BHU
Bhutan,"Domestic Material Consumption









",26.2,,2019,Per Capita,12.2.2,BHU
Brunei Darussalam,"Domestic Material Consumption









",3.9,,2019,Million Metric Tons,12.2.2,BRU
Brunei Darussalam,"Domestic Material Consumption









",9.1,,2019,Per Capita,12.2.2,BRU
Cambodia,"Domestic Material Consumption









",112.4,,2019,Million Metric Tons,12.2.2,CAM
Cambodia,"Domestic Material Consumption









",6.8,,2019,Per Capita,12.2.2,CAM
"China, People's Republic of","Domestic Material Consumption









","32,878.00",,2019,Million Metric Tons,12.2.2,PRC
"China, People's Republic of","Domestic Material Consumption









",22.9,,2019,Per Capita,12.2.2,PRC
Cook Islands,"Domestic Material Consumption









",0,,2019,Million Metric Tons,12.2.2,COO
Cook Islands,"Domestic Material Consumption









",1.4,,2019,Per Capita,12.2.2,COO
Fiji,"Domestic Material Consumption









",4.1,,2019,Million Metric Tons,12.2.2,FIJ
Fiji,"Domestic Material Consumption









",4.6,,2019,Per Capita,12.2.2,FIJ
Georgia,"Domestic Material Consumption









",40.1,,2019,Million Metric Tons,12.2.2,GEO
Georgia,"Domestic Material Consumption









",10,,2019,Per Capita,12.2.2,GEO
"Hong Kong, China","Domestic Material Consumption









",96.1,,2019,Million Metric Tons,12.2.2,HKG
"Hong Kong, China","Domestic Material Consumption









",12.9,,2019,Per Capita,12.2.2,HKG
India,"Domestic Material Consumption









","7,472.90",,2019,Million Metric Tons,12.2.2,IND
India,"Domestic Material Consumption









",5.5,,2019,Per Capita,12.2.2,IND
Indonesia,"Domestic Material Consumption









","1,760.00",,2019,Million Metric Tons,12.2.2,INO
Indonesia,"Domestic Material Consumption









",6.5,,2019,Per Capita,12.2.2,INO
Kazakhstan,"Domestic Material Consumption









",563,,2019,Million Metric Tons,12.2.2,KAZ
Kazakhstan,"Domestic Material Consumption









",30.3,,2019,Per Capita,12.2.2,KAZ
Kiribati,"Domestic Material Consumption









",0.6,,2019,Million Metric Tons,12.2.2,KIR
Kiribati,"Domestic Material Consumption









",5.2,,2019,Per Capita,12.2.2,KIR
"Korea, Republic of","Domestic Material Consumption









","1,020.60",,2019,Million Metric Tons,12.2.2,KOR
"Korea, Republic of","Domestic Material Consumption









",19.9,,2019,Per Capita,12.2.2,KOR
Kyrgyz Republic,"Domestic Material Consumption









",53.6,,2019,Million Metric Tons,12.2.2,KGZ
Kyrgyz Republic,"Domestic Material Consumption









",8.4,,2019,Per Capita,12.2.2,KGZ
Lao People's Democratic Republic,"Domestic Material Consumption









",102.9,,2019,Million Metric Tons,12.2.2,LAO
Lao People's Democratic Republic,"Domestic Material Consumption









",14.3,,2019,Per Capita,12.2.2,LAO
Malaysia,"Domestic Material Consumption









",697.1,,2019,Million Metric Tons,12.2.2,MAL
Malaysia,"Domestic Material Consumption









",21.8,,2019,Per Capita,12.2.2,MAL
Maldives,"Domestic Material Consumption









",4.4,,2019,Million Metric Tons,12.2.2,MLD
Maldives,"Domestic Material Consumption









",8.2,,2019,Per Capita,12.2.2,MLD
Marshall Islands,"Domestic Material Consumption









",0.1,,2019,Million Metric Tons,12.2.2,RMI
Marshall Islands,"Domestic Material Consumption









",1,,2019,Per Capita,12.2.2,RMI
"Micronesia, Federated States of","Domestic Material Consumption









",0.3,,2019,Million Metric Tons,12.2.2,FSM
"Micronesia, Federated States of","Domestic Material Consumption









",2.7,,2019,Per Capita,12.2.2,FSM
Mongolia,"Domestic Material Consumption









",156.4,,2019,Million Metric Tons,12.2.2,MON
Mongolia,"Domestic Material Consumption









",48.5,,2019,Per Capita,12.2.2,MON
Myanmar,"Domestic Material Consumption









",210.4,,2019,Million Metric Tons,12.2.2,MYA
Myanmar,"Domestic Material Consumption









",3.9,,2019,Per Capita,12.2.2,MYA
Nauru,"Domestic Material Consumption









",0.1,,2019,Million Metric Tons,12.2.2,NAU
Nauru,"Domestic Material Consumption









",6.9,,2019,Per Capita,12.2.2,NAU
Nepal,"Domestic Material Consumption









",152.9,,2019,Million Metric Tons,12.2.2,NEP
Nepal,"Domestic Material Consumption









",5.3,,2019,Per Capita,12.2.2,NEP
Niue,"Domestic Material Consumption









", … ,,2019,Million Metric Tons,12.2.2,NIU
Niue,"Domestic Material Consumption









", … ,,2019,Per Capita,12.2.2,NIU
Pakistan,"Domestic Material Consumption









",838.7,,2019,Million Metric Tons,12.2.2,PAK
Pakistan,"Domestic Material Consumption









",3.9,,2019,Per Capita,12.2.2,PAK
Palau,"Domestic Material Consumption









",0.1,,2019,Million Metric Tons,12.2.2,PAL
Palau,"Domestic Material Consumption









",3.1,,2019,Per Capita,12.2.2,PAL
Papua New Guinea,"Domestic Material Consumption









",70.1,,2019,Million Metric Tons,12.2.2,PNG
Papua New Guinea,"Domestic Material Consumption









",8,,2019,Per Capita,12.2.2,PNG
Philippines,"Domestic Material Consumption









",842.4,,2019,Million Metric Tons,12.2.2,PHI
Philippines,"Domestic Material Consumption









",7.8,,2019,Per Capita,12.2.2,PHI
Samoa,"Domestic Material Consumption









",1.3,,2019,Million Metric Tons,12.2.2,SAM
Samoa,"Domestic Material Consumption









",6.8,,2019,Per Capita,12.2.2,SAM
Singapore,"Domestic Material Consumption









",102.4,,2019,Million Metric Tons,12.2.2,SIN
Singapore,"Domestic Material Consumption









",17.6,,2019,Per Capita,12.2.2,SIN
Solomon Islands,"Domestic Material Consumption









",6.2,,2019,Million Metric Tons,12.2.2,SOL
Solomon Islands,"Domestic Material Consumption









",9.3,,2019,Per Capita,12.2.2,SOL
Sri Lanka,"Domestic Material Consumption









",65,,2019,Million Metric Tons,12.2.2,SRI
Sri Lanka,"Domestic Material Consumption









",3,,2019,Per Capita,12.2.2,SRI
"Taipei,China","Domestic Material Consumption









", … ,,2019,Million Metric Tons,12.2.2,TAP
"Taipei,China","Domestic Material Consumption









", … ,,2019,Per Capita,12.2.2,TAP
Tajikistan,"Domestic Material Consumption









",58.4,,2019,Million Metric Tons,12.2.2,TAJ
Tajikistan,"Domestic Material Consumption









",6.3,,2019,Per Capita,12.2.2,TAJ
Thailand,"Domestic Material Consumption









",868.1,,2019,Million Metric Tons,12.2.2,THA
Thailand,"Domestic Material Consumption









",12.5,,2019,Per Capita,12.2.2,THA
Timor-Leste,"Domestic Material Consumption









",5.4,,2019,Million Metric Tons,12.2.2,TIM
Timor-Leste,"Domestic Material Consumption









",4.2,,2019,Per Capita,12.2.2,TIM
Tonga,"Domestic Material Consumption









",3.7,,2019,Million Metric Tons,12.2.2,TON
Tonga,"Domestic Material Consumption









",35.6,,2019,Per Capita,12.2.2,TON
Turkmenistan,"Domestic Material Consumption









",82.8,,2019,Million Metric Tons,12.2.2,TKM
Turkmenistan,"Domestic Material Consumption









",13.9,,2019,Per Capita,12.2.2,TKM
Tuvalu,"Domestic Material Consumption









",0,,2019,Million Metric Tons,12.2.2,TUV
Tuvalu,"Domestic Material Consumption









",0.5,,2019,Per Capita,12.2.2,TUV
Uzbekistan,"Domestic Material Consumption









",327.7,,2019,Million Metric Tons,12.2.2,UZB
Uzbekistan,"Domestic Material Consumption









",9.9,,2019,Per Capita,12.2.2,UZB
Vanuatu,"Domestic Material Consumption









",2.4,,2019,Million Metric Tons,12.2.2,VAN
Vanuatu,"Domestic Material Consumption









",7.9,,2019,Per Capita,12.2.2,VAN
Viet Nam,"Domestic Material Consumption









",893.5,,2019,Million Metric Tons,12.2.2,VIE
Viet Nam,"Domestic Material Consumption









",9.3,,2019,Per Capita,12.2.2,VIE
Afghanistan,Forest Area as a Proportion of Total Land Area,1.9,,2020,%,15.1.1,AFG
Armenia,Forest Area as a Proportion of Total Land Area,11.5,,2020,%,15.1.1,ARM
Azerbaijan,Forest Area as a Proportion of Total Land Area,13.7,,2020,%,15.1.1,AZE
Bangladesh,Forest Area as a Proportion of Total Land Area,14.5,,2020,%,15.1.1,BAN
Bhutan,Forest Area as a Proportion of Total Land Area,71.4,,2020,%,15.1.1,BHU
Brunei Darussalam,Forest Area as a Proportion of Total Land Area,72.1,,2020,%,15.1.1,BRU
Cambodia,Forest Area as a Proportion of Total Land Area,45.7,,2020,%,15.1.1,CAM
"China, People's Republic of",Forest Area as a Proportion of Total Land Area,23.3,,2020,%,15.1.1,PRC
Cook Islands,Forest Area as a Proportion of Total Land Area,65,,2020,%,15.1.1,COO
Fiji,Forest Area as a Proportion of Total Land Area,62.4,,2020,%,15.1.1,FIJ
Georgia,Forest Area as a Proportion of Total Land Area,40.6,,2020,%,15.1.1,GEO
"Hong Kong, China",Forest Area as a Proportion of Total Land Area, … ,,2020,%,15.1.1,HKG
India,Forest Area as a Proportion of Total Land Area,24.3,,2020,%,15.1.1,IND
Indonesia,Forest Area as a Proportion of Total Land Area,49.1,,2020,%,15.1.1,INO
Kazakhstan,Forest Area as a Proportion of Total Land Area,1.3,,2020,%,15.1.1,KAZ
Kiribati,Forest Area as a Proportion of Total Land Area,1.5,,2020,%,15.1.1,KIR
"Korea, Republic of",Forest Area as a Proportion of Total Land Area,64.4,,2020,%,15.1.1,KOR
Kyrgyz Republic,Forest Area as a Proportion of Total Land Area,6.9,,2020,%,15.1.1,KGZ
Lao People's Democratic Republic,Forest Area as a Proportion of Total Land Area,71.9,,2020,%,15.1.1,LAO
Malaysia,Forest Area as a Proportion of Total Land Area,58.2,,2020,%,15.1.1,MAL
Maldives,Forest Area as a Proportion of Total Land Area,2.7,,2020,%,15.1.1,MLD
Marshall Islands,Forest Area as a Proportion of Total Land Area,52.2,,2020,%,15.1.1,RMI
"Micronesia, Federated States of",Forest Area as a Proportion of Total Land Area,92,,2020,%,15.1.1,FSM
Mongolia,Forest Area as a Proportion of Total Land Area,9.1,,2020,%,15.1.1,MON
Myanmar,Forest Area as a Proportion of Total Land Area,43.7,,2020,%,15.1.1,MYA
Nauru,Forest Area as a Proportion of Total Land Area, – ,,2020,%,15.1.1,NAU
Nepal,Forest Area as a Proportion of Total Land Area,41.6,,2020,%,15.1.1,NEP
Niue,Forest Area as a Proportion of Total Land Area,72.6,,2020,%,15.1.1,NIU
Pakistan,Forest Area as a Proportion of Total Land Area,4.8,,2020,%,15.1.1,PAK
Palau,Forest Area as a Proportion of Total Land Area,90,,2020,%,15.1.1,PAL
Papua New Guinea,Forest Area as a Proportion of Total Land Area,79.2,,2020,%,15.1.1,PNG
Philippines,Forest Area as a Proportion of Total Land Area,24.1,,2020,%,15.1.1,PHI
Samoa,Forest Area as a Proportion of Total Land Area,57.1,,2020,%,15.1.1,SAM
Singapore,Forest Area as a Proportion of Total Land Area,21.7,,2020,%,15.1.1,SIN
Solomon Islands,Forest Area as a Proportion of Total Land Area,90.1,,2020,%,15.1.1,SOL
Sri Lanka,Forest Area as a Proportion of Total Land Area,34.2,,2020,%,15.1.1,SRI
"Taipei,China",Forest Area as a Proportion of Total Land Area,60.7,,2020,%,15.1.1,TAP
Tajikistan,Forest Area as a Proportion of Total Land Area,3.1,,2020,%,15.1.1,TAJ
Thailand,Forest Area as a Proportion of Total Land Area,38.9,,2020,%,15.1.1,THA
Timor-Leste,Forest Area as a Proportion of Total Land Area,61.9,,2020,%,15.1.1,TIM
Tonga,Forest Area as a Proportion of Total Land Area,12.4,,2020,%,15.1.1,TON
Turkmenistan,Forest Area as a Proportion of Total Land Area,8.8,,2020,%,15.1.1,TKM
Tuvalu,Forest Area as a Proportion of Total Land Area,33.3,,2020,%,15.1.1,TUV
Uzbekistan,Forest Area as a Proportion of Total Land Area,8.4,,2020,%,15.1.1,UZB
Vanuatu,Forest Area as a Proportion of Total Land Area,36.3,,2020,%,15.1.1,VAN
Viet Nam,Forest Area as a Proportion of Total Land Area,46.7,,2020,%,15.1.1,VIE
Afghanistan,"Government Finance, Expenditure",27.9,,2020,% of  GDP,,AFG
Armenia,"Government Finance, Expenditure",28.5,,2021,% of  GDP,,ARM
Azerbaijan,"Government Finance, Expenditure",29.5,,2021,% of  GDP,,AZE
Bangladesh,"Government Finance, Expenditure",13,,2021,% of  GDP,,BAN
Bhutan,"Government Finance, Expenditure",39.1,,2021,% of  GDP,,BHU
Brunei Darussalam,"Government Finance, Expenditure",47.3,,2021,% of  GDP,,BRU
Cambodia,"Government Finance, Expenditure",25.5,,2021,% of  GDP,,CAM
"China, People's Republic of","Government Finance, Expenditure",21.5,,2021,% of  GDP,,PRC
Cook Islands,"Government Finance, Expenditure",65.6,,2021,% of  GDP,,COO
Fiji,"Government Finance, Expenditure",32.9,,2021,% of  GDP,,FIJ
Georgia,"Government Finance, Expenditure",32.2,,2021,% of  GDP,,GEO
"Hong Kong, China","Government Finance, Expenditure",24.4,,2021,% of  GDP,,HKG
India,"Government Finance, Expenditure",16.2,,2021,% of  GDP,,IND
Indonesia,"Government Finance, Expenditure",16.4,,2021,% of  GDP,,INO
Kazakhstan,"Government Finance, Expenditure",22.6,,2021,% of  GDP,,KAZ
Kiribati,"Government Finance, Expenditure",140.7,,2021,% of  GDP,,KIR
"Korea, Republic of","Government Finance, Expenditure",27.6,,2021,% of  GDP,,KOR
Kyrgyz Republic,"Government Finance, Expenditure",29.3,,2021,% of  GDP,,KGZ
Lao People's Democratic Republic,"Government Finance, Expenditure",15.7,,2021,% of  GDP,,LAO
Malaysia,"Government Finance, Expenditure",18.4,,2021,% of  GDP,,MAL
Maldives,"Government Finance, Expenditure",42.2,,2021,% of  GDP,,MLD
Marshall Islands,"Government Finance, Expenditure",71,,2021,% of  GDP,,RMI
"Micronesia, Federated States of","Government Finance, Expenditure",63.5,,2021,% of  GDP,,FSM
Mongolia,"Government Finance, Expenditure",36.3,,2021,% of  GDP,,MON
Myanmar,"Government Finance, Expenditure",21.7,,2021,% of  GDP,,MYA
Nauru,"Government Finance, Expenditure",135.5,,2021,% of  GDP,,NAU
Nepal,"Government Finance, Expenditure",28.4,,2021,% of  GDP,,NEP
Niue,"Government Finance, Expenditure",119.8,,2021,% of  GDP,,NIU
Pakistan,"Government Finance, Expenditure",18.6,,2021,% of  GDP,,PAK
Palau,"Government Finance, Expenditure",65.8,,2021,% of  GDP,,PAL
Papua New Guinea,"Government Finance, Expenditure",21.9,,2021,% of  GDP,,PNG
Philippines,"Government Finance, Expenditure",24.1,,2021,% of  GDP,,PHI
Samoa,"Government Finance, Expenditure",37.2,,2021,% of  GDP,,SAM
Singapore,"Government Finance, Expenditure",19.9,,2021,% of  GDP,,SIN
Solomon Islands,"Government Finance, Expenditure",36.1,,2021,% of  GDP,,SOL
Sri Lanka,"Government Finance, Expenditure",19.8,,2021,% of  GDP,,SRI
"Taipei,China","Government Finance, Expenditure",12.5,,2021,% of  GDP,,TAP
Tajikistan,"Government Finance, Expenditure",30.5,,2021,% of  GDP,,TAJ
Thailand,"Government Finance, Expenditure",29.5,,2021,% of  GDP,,THA
Timor-Leste,"Government Finance, Expenditure",96.5,,2021,% of  GDP,,TIM
Tonga,"Government Finance, Expenditure",37.7,,2021,% of  GDP,,TON
Turkmenistan,"Government Finance, Expenditure",12.6,,2021,% of  GDP,,TKM
Tuvalu,"Government Finance, Expenditure",96.1,,2021,% of  GDP,,TUV
Uzbekistan,"Government Finance, Expenditure",33.5,,2021,% of  GDP,,UZB
Vanuatu,"Government Finance, Expenditure",40.9,,2021,% of  GDP,,VAN
Viet Nam,"Government Finance, Expenditure",21.9,,2021,% of  GDP,,VIE
Afghanistan,"Government Finance, Fiscal Balance",–2.2,,2020,% of  GDP,,AFG
Armenia,"Government Finance, Fiscal Balance",–4.4,,2021,% of  GDP,,ARM
Azerbaijan,"Government Finance, Fiscal Balance",–1.1,,2021,% of  GDP,,AZE
Bangladesh,"Government Finance, Fiscal Balance",–3.7,,2021,% of  GDP,,BAN
Bhutan,"Government Finance, Fiscal Balance",–6.1,,2021,% of  GDP,,BHU
Brunei Darussalam,"Government Finance, Fiscal Balance",–26.3,,2021,% of  GDP,,BRU
Cambodia,"Government Finance, Fiscal Balance",–4.0,,2021,% of  GDP,,CAM
"China, People's Republic of","Government Finance, Fiscal Balance",–3.8,,2021,% of  GDP,,PRC
Cook Islands,"Government Finance, Fiscal Balance",–23.1,,2021,% of  GDP,,COO
Fiji,"Government Finance, Fiscal Balance",–10.8,,2021,% of  GDP,,FIJ
Georgia,"Government Finance, Fiscal Balance",–6.4,,2021,% of  GDP,,GEO
"Hong Kong, China","Government Finance, Fiscal Balance",–0.6,,2021,% of  GDP,,HKG
India,"Government Finance, Fiscal Balance",–6.9,,2021,% of  GDP,,IND
Indonesia,"Government Finance, Fiscal Balance",–4.6,,2021,% of  GDP,,INO
Kazakhstan,"Government Finance, Fiscal Balance",–3.1,,2021,% of  GDP,,KAZ
Kiribati,"Government Finance, Fiscal Balance",–23.4,,2021,% of  GDP,,KIR
"Korea, Republic of","Government Finance, Fiscal Balance",–5.3,,2021,% of  GDP,,KOR
Kyrgyz Republic,"Government Finance, Fiscal Balance",–0.3,,2021,% of  GDP,,KGZ
Lao People's Democratic Republic,"Government Finance, Fiscal Balance",–1.5,,2021,% of  GDP,,LAO
Malaysia,"Government Finance, Fiscal Balance",–0.6,,2021,% of  GDP,,MAL
Maldives,"Government Finance, Fiscal Balance",–16.6,,2021,% of  GDP,,MLD
Marshall Islands,"Government Finance, Fiscal Balance",1.4,,2021,% of  GDP,,RMI
"Micronesia, Federated States of","Government Finance, Fiscal Balance",6.3,,2021,% of  GDP,,FSM
Mongolia,"Government Finance, Fiscal Balance",–3.1,,2021,% of  GDP,,MON
Myanmar,"Government Finance, Fiscal Balance",–6.0,,2021,% of  GDP,,MYA
Nauru,"Government Finance, Fiscal Balance",43.8,,2021,% of  GDP,,NAU
Nepal,"Government Finance, Fiscal Balance",–4.2,,2021,% of  GDP,,NEP
Niue,"Government Finance, Fiscal Balance",–12.2,,2021,% of  GDP,,NIU
Pakistan,"Government Finance, Fiscal Balance",–6.2,,2021,% of  GDP,,PAK
Palau,"Government Finance, Fiscal Balance",–19.5,,2021,% of  GDP,,PAL
Papua New Guinea,"Government Finance, Fiscal Balance",–7.1,,2021,% of  GDP,,PNG
Philippines,"Government Finance, Fiscal Balance",–8.6,,2021,% of  GDP,,PHI
Samoa,"Government Finance, Fiscal Balance",1.9,,2021,% of  GDP,,SAM
Singapore,"Government Finance, Fiscal Balance",–1.0,,2021,% of  GDP,,SIN
Solomon Islands,"Government Finance, Fiscal Balance",–3.2,,2021,% of  GDP,,SOL
Sri Lanka,"Government Finance, Fiscal Balance",–11.1,,2021,% of  GDP,,SRI
"Taipei,China","Government Finance, Fiscal Balance",–1.5,,2021,% of  GDP,,TAP
Tajikistan,"Government Finance, Fiscal Balance",–2.0,,2021,% of  GDP,,TAJ
Thailand,"Government Finance, Fiscal Balance",–12.5,,2021,% of  GDP,,THA
Timor-Leste,"Government Finance, Fiscal Balance",30.9,,2021,% of  GDP,,TIM
Tonga,"Government Finance, Fiscal Balance",–1.0,,2021,% of  GDP,,TON
Turkmenistan,"Government Finance, Fiscal Balance",–0.3,,2021,% of  GDP,,TKM
Tuvalu,"Government Finance, Fiscal Balance",5.4,,2021,% of  GDP,,TUV
Uzbekistan,"Government Finance, Fiscal Balance",–5.7,,2021,% of  GDP,,UZB
Vanuatu,"Government Finance, Fiscal Balance",–3.0,,2021,% of  GDP,,VAN
Viet Nam,"Government Finance, Fiscal Balance",–3.8,,2021,% of  GDP,,VIE
Afghanistan,"Government Finance, Revenue",25.7,,2020,% of  GDP,,AFG
Armenia,"Government Finance, Revenue",24.1,,2021,% of  GDP,,ARM
Azerbaijan,"Government Finance, Revenue",28.4,,2021,% of  GDP,,AZE
Bangladesh,"Government Finance, Revenue",9.3,,2021,% of  GDP,,BAN
Bhutan,"Government Finance, Revenue",33,,2021,% of  GDP,,BHU
Brunei Darussalam,"Government Finance, Revenue",21.1,,2021,% of  GDP,,BRU
Cambodia,"Government Finance, Revenue",21.4,,2021,% of  GDP,,CAM
"China, People's Republic of","Government Finance, Revenue",17.7,,2021,% of  GDP,,PRC
Cook Islands,"Government Finance, Revenue",42.5,,2021,% of  GDP,,COO
Fiji,"Government Finance, Revenue",22.1,,2021,% of  GDP,,FIJ
Georgia,"Government Finance, Revenue",25.7,,2021,% of  GDP,,GEO
"Hong Kong, China","Government Finance, Revenue",23.9,,2021,% of  GDP,,HKG
India,"Government Finance, Revenue",9.4,,2021,% of  GDP,,IND
Indonesia,"Government Finance, Revenue",11.8,,2021,% of  GDP,,INO
Kazakhstan,"Government Finance, Revenue",19.5,,2021,% of  GDP,,KAZ
Kiribati,"Government Finance, Revenue",117.3,,2021,% of  GDP,,KIR
"Korea, Republic of","Government Finance, Revenue",22.3,,2021,% of  GDP,,KOR
Kyrgyz Republic,"Government Finance, Revenue",29,,2021,% of  GDP,,KGZ
Lao People's Democratic Republic,"Government Finance, Revenue",14.2,,2021,% of  GDP,,LAO
Malaysia,"Government Finance, Revenue",17.8,,2021,% of  GDP,,MAL
Maldives,"Government Finance, Revenue",25.6,,2021,% of  GDP,,MLD
Marshall Islands,"Government Finance, Revenue",72.4,,2021,% of  GDP,,RMI
"Micronesia, Federated States of","Government Finance, Revenue",69.8,,2021,% of  GDP,,FSM
Mongolia,"Government Finance, Revenue",33.1,,2021,% of  GDP,,MON
Myanmar,"Government Finance, Revenue",15.7,,2021,% of  GDP,,MYA
Nauru,"Government Finance, Revenue",179.3,,2021,% of  GDP,,NAU
Nepal,"Government Finance, Revenue",24.2,,2021,% of  GDP,,NEP
Niue,"Government Finance, Revenue",107.5,,2021,% of  GDP,,NIU
Pakistan,"Government Finance, Revenue",12.4,,2021,% of  GDP,,PAK
Palau,"Government Finance, Revenue",46.3,,2021,% of  GDP,,PAL
Papua New Guinea,"Government Finance, Revenue",14.7,,2021,% of  GDP,,PNG
Philippines,"Government Finance, Revenue",15.5,,2021,% of  GDP,,PHI
Samoa,"Government Finance, Revenue",39.1,,2021,% of  GDP,,SAM
Singapore,"Government Finance, Revenue",18.9,,2021,% of  GDP,,SIN
Solomon Islands,"Government Finance, Revenue",32.9,,2021,% of  GDP,,SOL
Sri Lanka,"Government Finance, Revenue",8.6,,2021,% of  GDP,,SRI
"Taipei,China","Government Finance, Revenue",11,,2021,% of  GDP,,TAP
Tajikistan,"Government Finance, Revenue",28.5,,2021,% of  GDP,,TAJ
Thailand,"Government Finance, Revenue",16.9,,2021,% of  GDP,,THA
Timor-Leste,"Government Finance, Revenue",127.4,,2021,% of  GDP,,TIM
Tonga,"Government Finance, Revenue",36.6,,2021,% of  GDP,,TON
Turkmenistan,"Government Finance, Revenue",12.3,,2021,% of  GDP,,TKM
Tuvalu,"Government Finance, Revenue",101.4,,2021,% of  GDP,,TUV
Uzbekistan,"Government Finance, Revenue",27.7,,2021,% of  GDP,,UZB
Vanuatu,"Government Finance, Revenue",37.9,,2021,% of  GDP,,VAN
Viet Nam,"Government Finance, Revenue",18.1,,2021,% of  GDP,,VIE
Afghanistan,Gross Domestic Investment, … ,,2021,% of GDP,,AFG
Armenia,Gross Domestic Investment,19.6,,2021,% of GDP,,ARM
Azerbaijan,Gross Domestic Investment,18,*,2021,% of GDP,,AZE
Bangladesh,Gross Domestic Investment,31,*,2021,% of GDP,,BAN
Bhutan,Gross Domestic Investment,46.3,,2021,% of GDP,,BHU
Brunei Darussalam,Gross Domestic Investment,40.6,,2020,% of GDP,,BRU
Cambodia,Gross Domestic Investment,40.6,*,2021,% of GDP,,CAM
"China, People's Republic of",Gross Domestic Investment,41.4,,2021,% of GDP,,PRC
Cook Islands,Gross Domestic Investment, … ,,2021,% of GDP,,COO
Fiji,Gross Domestic Investment,17.8,,2018,% of GDP,,FIJ
Georgia,Gross Domestic Investment,26.2,,2020,% of GDP,,GEO
"Hong Kong, China",Gross Domestic Investment,17.6,,2021,% of GDP,,HKG
India,Gross Domestic Investment,28.2,*,2021,% of GDP,,IND
Indonesia,Gross Domestic Investment,31.5,,2021,% of GDP,,INO
Kazakhstan,Gross Domestic Investment,39.8,,2021,% of GDP,,KAZ
Kiribati,Gross Domestic Investment,8.5,,2020,% of GDP,,KIR
"Korea, Republic of",Gross Domestic Investment,31.8,,2021,% of GDP,,KOR
Kyrgyz Republic,Gross Domestic Investment,9.4,,2020,% of GDP,,KGZ
Lao People's Democratic Republic,Gross Domestic Investment, … ,,2021,% of GDP,,LAO
Malaysia,Gross Domestic Investment,22.3,*,2021,% of GDP,,MAL
Maldives,Gross Domestic Investment, … ,,2021,% of GDP,,MLD
Marshall Islands,Gross Domestic Investment,45.1,,2020,% of GDP,,RMI
